SALE_DATE,TOTAL_SALES,TOTAL_QTY,TRANSACTIONS,ROLLING_7_DAY,ROLLING_30_DAY,LAG_1_DAY,LAG_7_DAY,LAG_30_DAY
2025-01-01,2367.570624,1032.0,551,,,,,
2025-01-02,5037.207812,1562.0,734,,,2367.570624,,
2025-01-03,4479.485993,1558.0,673,,,5037.207812,,
2025-01-04,4323.086305,1785.0,721,,,4479.485993,,
2025-01-05,4213.37326,1336.0,565,,,4323.086305,,
2025-01-06,3792.2557309999997,1597.0,688,,,4213.37326,,
2025-01-07,4394.663356,1546.0,687,4086.8061544285715,,3792.2557309999997,,
2025-01-08,4522.084145,1487.0,648,4394.593800285714,,4394.663356,2367.570624,
2025-01-09,4259.703576,1546.0,700,4283.521766571428,,4522.084145,5037.207812,
2025-01-10,5899.292784,2208.0,923,4486.351308142857,,4259.703576,4479.485993,
2025-01-11,4861.940531,2024.0,827,4563.330483285715,,5899.292784,4323.086305,
2025-01-12,3542.107385,1501.0,661,4467.435358285714,,4861.940531,4213.37326,
2025-01-13,4517.693999,1566.0,728,4571.069396571429,,3542.107385,3792.2557309999997,
2025-01-14,4530.127918,1620.0,730,4590.421476857143,,4517.693999,4394.663356,
2025-01-15,4185.61976,1774.0,779,4542.355136142857,,4530.127918,4522.084145,
2025-01-16,5058.623077,1636.0,717,4656.4864934285715,,4185.61976,4259.703576,
2025-01-17,5375.633659,2216.0,914,4581.678047,,5058.623077,5899.292784,
2025-01-18,5311.43257,2133.0,834,4645.891195428571,,5375.633659,4861.940531,
2025-01-19,3373.785338,1500.0,683,4621.8451887142855,,5311.43257,3542.107385,
2025-01-20,3802.170765,1563.0,730,4519.627583857143,,3373.785338,4517.693999,
2025-01-21,4156.171778,1685.0,762,4466.205278142857,,3802.170765,4530.127918,
2025-01-22,4653.238688,1732.0,760,4533.007982142857,,4156.171778,4185.61976,
2025-01-23,6539.922331,2292.0,974,4744.622161285714,,4653.238688,5058.623077,
2025-01-24,6787.675628,2692.0,1041,4946.342442571428,,6539.922331,5375.633659,
2025-01-25,5937.407574,2410.0,929,5035.767443142858,,6787.675628,5311.43257,
2025-01-26,3768.273008,1497.0,676,5092.122824571429,,5937.407574,3373.785338,
2025-01-27,4312.972258,1730.0,789,5165.094466428572,,3768.273008,3802.170765,
2025-01-28,4567.287798,1841.0,805,5223.825326428571,,4312.972258,4156.171778,
2025-01-29,5141.091378,2065.0,846,5293.518567857143,,4567.287798,4653.238688,
2025-01-30,4951.425043,1908.0,843,5066.590383857142,4622.1108024,5141.091378,6539.922331,
2025-01-31,6262.800301,2501.0,1021,4991.6081942857145,4751.951791633333,4951.425043,6787.675628,2367.570624
2025-02-01,5402.15299,2272.0,878,4915.1432537142855,4764.1166309,6262.800301,5937.407574,5037.207812
2025-02-02,4132.47556,1581.0,704,4967.172189714286,4752.5496164666665,5402.15299,3768.273008,4479.485993
2025-02-03,4625.171414,1689.0,730,5011.772069142857,4762.6191201,4132.47556,4312.972258,4323.086305
2025-02-04,4355.817167,1829.0,801,4981.561979,4767.367250333334,4625.171414,4567.287798,4213.37326
2025-02-05,3963.496878,1733.0,774,4813.334193285715,4773.075288566667,4355.817167,5141.091378,3792.2557309999997
2025-02-06,4852.190031,2144.0,874,4799.157763,4788.326177733334,3963.496878,4951.425043,4394.663356
2025-02-07,6282.455476,2542.0,1035,4801.965645142857,4847.0052221,4852.190031,6262.800301,4522.084145
2025-02-08,4844.945488,2165.0,869,4722.364573428572,4866.513285833334,6282.455476,5402.15299,4259.703576
2025-02-09,3615.828439,1704.0,755,4648.557841857143,4790.397807666666,4844.945488,4132.47556,5899.292784
2025-02-10,4651.139222,1610.0,738,4652.267528714286,4783.371097366666,3615.828439,4625.171414,4861.940531
2025-02-11,4633.751756,1982.0,825,4691.97247,4819.759243066667,4651.139222,4355.817167,3542.107385
2025-02-12,4325.824976,1870.0,804,4743.7336268571435,4813.363608966667,4633.751756,3963.496878,4517.693999
2025-02-13,5026.869938,1904.0,803,4768.687899285715,4829.9216762999995,4325.824976,4852.190031,4530.127918
2025-02-14,6219.496535,2107.0,882,4759.693764857143,4897.7175688,5026.869938,6282.455476,4185.61976
2025-02-15,5550.339473,2301.0,908,4860.464334142857,4914.108115333333,6219.496535,4844.945488,5058.623077
2025-02-16,3404.465171,1535.0,719,4830.269581571428,4848.402499066667,5550.339473,3615.828439,5375.633659
2025-02-17,4240.418603,1553.0,697,4771.5952074285715,4812.7020335,3404.465171,4651.139222,5311.43257
2025-02-18,4241.459491,1655.0,754,4715.553455285714,4841.624505266666,4240.418603,4633.751756,3373.785338
2025-02-19,4758.330211,1793.0,810,4777.339917428571,4873.4964868,4241.459491,4325.824976,3802.170765
2025-02-20,4118.215174,1852.0,796,4647.532094,4872.231266666668,4758.330211,5026.869938,4156.171778
2025-02-21,5940.697539,2170.0,915,4607.703666,4915.1465617,4118.215174,6219.496535,4653.238688
2025-02-22,6746.291988,2694.0,1018,4778.5540252857145,4922.025550266667,5940.697539,5550.339473,6539.922331
2025-02-23,3449.501166,1562.0,688,4784.987738857143,4810.753068200001,6746.291988,3404.465171,6787.675628
2025-02-24,3997.817846,1652.0,760,4750.3304878571425,4746.1000772666675,3449.501166,4240.418603,5937.407574
2025-02-25,4772.142248,1751.0,790,4826.142310285714,4779.562385266666,3997.817846,4241.459491,3768.273008
2025-02-26,4162.582435,1901.0,813,4741.035485142857,4774.549391166667,4772.142248,4758.330211,4312.972258
2025-02-27,4794.015526,2031.0,891,4837.578392571429,4782.106982099999,4162.582435,4118.215174,4567.287798
2025-02-28,6930.884484,2623.0,1059,4979.033670428572,4841.7667523,4794.015526,5940.697539,5141.091378
2025-03-01,6510.784059,2621.0,987,4945.389680571429,4893.745386166667,6930.884484,6746.291988,4951.425043
2025-03-02,3638.486858,1586.0,730,4972.387636571429,4806.2682714,6510.784059,3449.501166,6262.800301
2025-03-03,3672.236288,1648.0,776,4925.875985428572,4748.604381333334,3638.486858,3997.817846,5402.15299
2025-03-04,4108.813408,1700.0,740,4831.1147225714285,4747.815642933334,3672.236288,4772.142248,4132.47556
2025-03-05,4106.294219,1838.0,783,4823.073548857144,4730.519736433333,4108.813408,4162.582435,4625.171414
2025-03-06,4957.282134,2031.0,888,4846.39735,4750.568568666667,4106.294219,4794.015526,4355.817167
2025-03-07,7394.231018,2394.0,1018,4912.589712,4864.926373333333,4957.282134,6930.884484,3963.496878
2025-03-08,5121.785128,2286.0,915,4714.161293285714,4873.9128765666665,7394.231018,6510.784059,4852.190031
2025-03-09,3743.139842,1651.0,694,4729.111719571428,4789.2690221,5121.785128,3638.486858,6282.455476
2025-03-10,4573.565872,1823.0,763,4857.8730887142865,4780.2230349,3743.139842,3672.236288,4844.945488
2025-03-11,4137.545309,1781.0,792,4861.977646,4797.613597233333,4573.565872,4108.813408,3615.828439
2025-03-12,4236.831728,2019.0,826,4880.625861571428,4783.803347433334,4137.545309,4106.294219,4651.139222
2025-03-13,5298.93117,2150.0,899,4929.432866714285,4805.975994566667,4236.831728,4957.282134,4633.751756
2025-03-14,6105.724784,2486.0,998,4745.3605475714285,4865.305988166667,5298.93117,7394.231018,4325.824976
2025-03-15,5466.768926,2225.0,889,4794.643947285715,4879.969287766667,6105.724784,5121.785128,5026.869938
2025-03-16,3907.924254,1675.0,708,4818.184577571429,4802.9168784,5466.768926,3743.139842,6219.496535
2025-03-17,4179.236208,1666.0,757,4761.851768428572,4757.213436233333,3907.924254,4573.565872,5550.339473
2025-03-18,4681.601011,1762.0,794,4839.574011571429,4799.784630900001,4179.236208,4137.545309,3404.465171
2025-03-19,5430.881797,2026.0,895,5010.152592857143,4839.466737366666,4681.601011,4236.831728,4240.418603
2025-03-20,4860.885732,2026.0,883,4947.574673142857,4860.114278733333,5430.881797,5298.93117,4241.459491
2025-03-21,5859.633429,2392.0,931,4912.4187652857145,4896.824385999999,4860.885732,6105.724784,4758.330211
2025-03-22,5653.005781,2237.0,887,4939.024030285714,4947.984072900001,5859.633429,5466.768926,4118.215174
2025-03-23,3688.468972,1693.0,763,4907.673275714286,4872.909787333334,5653.005781,3907.924254,5940.697539
2025-03-24,4692.232357,1795.0,808,4980.958439857143,4804.441132966666,3688.468972,4179.236208,6746.291988
2025-03-25,4268.437923,1834.0,755,4921.935141571428,4831.739024866666,4692.232357,4681.601011,3449.501166
2025-03-26,4792.139667,2069.0,891,4830.686265857143,4858.2164189000005,4268.437923,5430.881797,3997.817846
2025-03-27,5044.323737,1841.0,816,4856.891695142857,4867.289135200001,4792.139667,4860.885732,4772.142248
2025-03-28,6411.987142,2517.0,980,4935.799368428571,4942.2692921,5044.323737,5859.633429,4162.582435
2025-03-29,6249.388467,2224.0,883,5020.996894999999,4990.781723466667,6411.987142,5653.005781,4794.015526
2025-03-30,4185.279219,1732.0,759,5091.969787428571,4899.261547966667,6249.388467,3688.468972,6930.884484
2025-03-31,5572.215396,1820.0,793,5217.681650142857,4867.975925866666,4185.279219,4692.232357,6510.784059
2025-04-01,6455.762407,2083.0,873,5530.156576428571,4961.885110833333,5572.215396,4268.437923,3638.486858
2025-04-02,4814.579375,1952.0,863,5533.362249,4999.963213733334,6455.762407,4792.139667,3672.236288
2025-04-03,6332.166517,2157.0,922,5717.339789,5074.074984033333,4814.579375,5044.323737,4108.813408
2025-04-04,6724.27794,2689.0,1064,5761.952760142857,5161.341108066667,6332.166517,6411.987142,4106.294219
2025-04-05,5920.554613,2506.0,973,5714.976495285715,5193.450190699999,6724.27794,6249.388467,4957.282134
2025-04-06,4642.215277,1867.0,801,5780.253075,5101.716332666667,5920.554613,4185.279219,7394.231018
2025-04-07,4341.798191,1714.0,773,5604.4791885714285,5075.7167681,4642.215277,5572.215396,5121.785128
2025-04-08,4772.805361,1915.0,831,5364.056753428571,5110.038952066667,4341.798191,6455.762407,3743.139842
2025-04-09,4556.457689,1982.0,863,5327.182226857142,5109.4686793,4772.805361,4814.579375,4573.565872
2025-04-10,4985.945762,1954.0,857,5134.864976142858,5137.7486944,4556.457689,6332.166517,4137.545309
2025-04-11,6374.734821,2295.0,957,5084.9302448571425,5209.012130833333,4985.945762,6724.27794,4236.831728
2025-04-12,5627.33784,2289.0,935,5043.042134428571,5219.959019833333,6374.734821,5920.554613,5298.93117
2025-04-13,3753.12204,1704.0,787,4916.028814857143,5141.538928366667,5627.33784,4642.215277,6105.724784
2025-04-14,3911.259039,1641.0,738,4854.523221714286,5089.6885988,3753.12204,4341.798191,5466.768926
2025-04-15,5025.973732,1621.0,758,4890.690131857143,5126.956914733333,3911.259039,4772.805361,3907.924254
2025-04-16,4644.619931,1748.0,785,4903.284737857143,5142.469705500001,5025.973732,4556.457689,4179.236208
2025-04-17,5345.165319,1958.0,874,4954.601817428571,5164.588515766666,4644.619931,4985.945762,4681.601011
2025-04-18,5111.141083,1951.0,848,4774.088426285714,5153.9304919666665,5345.165319,6374.734821,5430.881797
2025-04-19,6366.7607769999995,2153.0,887,4879.720274428572,5204.126326800001,5111.141083,5627.33784,4860.885732
2025-04-20,5206.912362,1967.0,830,5087.404606142857,5182.3689579,6366.7607769999995,3753.12204,5859.633429
2025-04-21,3812.317031,1489.0,668,5073.270033571428,5121.012666233333,5206.912362,3911.259039,5653.005781
2025-04-22,4245.423772,1855.0,830,4961.762896428571,5139.577826233333,3812.317031,5025.973732,3688.468972
2025-04-23,4527.277468,1833.0,834,4944.999687428572,5134.079329933333,4245.423772,4644.619931,4692.232357
2025-04-24,4688.952846,2011.0,863,4851.255048428572,5148.096494033333,4527.277468,5345.165319,4268.437923
2025-04-25,6462.269284,2480.0,979,5044.273362857143,5203.767481266666,4688.952846,5111.141083,4792.139667
2025-04-26,6302.069442,2575.0,1003,5035.031743571429,5245.6923381,6462.269284,6366.7607769999995,5044.323737
2025-04-27,3491.609622,1655.0,721,4789.988495,5148.346420766667,6302.069442,5206.912362,6411.987142
2025-04-28,4003.383354,1653.0,731,4817.283684,5073.479583666666,3491.609622,3812.317031,6249.388467
2025-04-29,5192.556498,1983.0,860,4952.588359142857,5107.055492966667,4003.383354,4245.423772,4185.279219
2025-04-30,6042.6461580000005,2272.0,930,5169.069600571428,5122.736518366667,5192.556498,4527.277468,5572.215396
2025-05-01,4437.20464,1901.0,829,5133.105571142857,5055.451259466668,6042.6461580000005,4688.952846,6455.762407
2025-05-02,6876.436884,2615.0,1060,5192.272371142857,5124.179843100001,4437.20464,6462.269284,4814.579375
2025-05-03,6335.956477,2467.0,937,5197.113376142857,5124.3061751000005,6876.436884,6302.069442,6332.166517
2025-05-04,5459.102301,1869.0,831,5478.183758857143,5082.1336538000005,6335.956477,3491.609622,6724.27794
2025-05-05,4973.88518,1844.0,818,5616.826876857142,5050.578006033334,5459.102301,4003.383354,5920.554613
2025-05-06,4808.601546,2052.0,860,5561.976169428572,5056.124215000001,4973.88518,5192.556498,4642.215277
2025-05-07,4785.036061,2197.0,924,5382.317584142857,5070.898810666667,4808.601546,6042.6461580000005,4341.798191
2025-05-08,5163.306548,2221.0,949,5486.046428142858,5083.9155169,4785.036061,4437.20464,4772.805361
2025-05-09,6489.04967,2742.0,1084,5430.705397571429,5148.335249600001,5163.306548,6876.436884,4556.457689
2025-05-10,5942.967553,2476.0,954,5374.564122714285,5180.235975966667,6489.04967,6335.956477,4985.945762
2025-05-11,4879.157155,1949.0,836,5291.714816142857,5130.3833871,5942.967553,5459.102301,6374.734821
2025-05-12,4704.145352,1825.0,816,5253.180555,5099.6103041666665,4879.157155,4973.88518,5627.33784
2025-05-13,5623.711958,2169.0,908,5369.624899571429,5161.963301433333,4704.145352,4808.601546,3753.12204
2025-05-14,5372.265281,2280.0,972,5453.5147881428575,5210.663509499999,5623.711958,4785.036061,3911.259039
2025-05-15,5666.903524,2274.0,935,5525.457213285714,5232.027835900001,5372.265281,5163.306548,5025.973732
2025-05-16,7391.829615,2920.0,1087,5654.425776857142,5323.601492033334,5666.903524,6489.04967,4644.619931
2025-05-17,6716.082052,2763.0,1016,5764.8707052857135,5369.2987164666665,7391.829615,5942.967553,5345.165319
2025-05-18,4761.38351,2005.0,842,5748.045898857142,5357.640130700001,6716.082052,4879.157155,5111.141083
2025-05-19,4220.988464,1909.0,847,5679.023486285713,5286.114386933333,4761.38351,4704.145352,6366.7607769999995
2025-05-20,4647.446979,2057.0,880,5539.557060714285,5267.465540833334,4220.988464,5623.711958,5206.912362
2025-05-21,5602.7441770000005,2300.0,1000,5572.482617285714,5327.1464457,4647.446979,5372.265281,3812.317031
2025-05-22,5065.03481,2006.0,885,5486.501372428572,5354.466813633333,5602.7441770000005,5666.903524,4245.423772
2025-05-23,6243.823444,2328.0,982,5322.500490857143,5411.6850128333335,5065.03481,7391.829615,4527.277468
2025-05-24,5324.698259,2282.0,911,5123.731377571428,5432.8765266,6243.823444,6716.082052,4688.952846
2025-05-25,4239.126931,1918.0,854,5049.123294857142,5358.7717815000005,5324.698259,4761.38351,6462.269284
2025-05-26,3640.115161,1532.0,692,4966.141394428572,5270.039972133333,4239.126931,4220.988464,6302.069442
2025-05-27,4911.544618,1831.0,824,5003.8696285714295,5317.371138666666,3640.115161,4647.446979,3491.609622
2025-05-28,4179.893967,1978.0,832,4800.605312857143,5323.254825766667,4911.544618,5602.7441770000005,4003.383354
2025-05-29,4716.99369,1981.0,881,4750.885152857142,5307.402732166666,4179.893967,5065.03481,5192.556498
2025-05-30,8024.113881,2616.0,1031,5005.212358142856,5373.451656266667,4716.99369,6243.823444,6042.6461580000005
2025-05-31,5655.002831,2371.0,953,5052.398725571429,5414.044929299999,8024.113881,5324.698259,4437.20464
2025-06-01,4034.306352,1684.0,785,5023.138642857143,5319.3072449,5655.002831,4239.126931,6876.436884
2025-06-02,4389.036946,1844.0,806,5130.127469285714,5254.4099272,4034.306352,3640.115161,6335.956477
2025-06-03,5582.316668,1979.0,863,5225.952047857143,5258.517072766666,4389.036946,4911.544618,5459.102301
2025-06-04,4229.744923,1947.0,859,5233.0736130000005,5233.712397533333,5582.316668,4179.893967,4973.88518
2025-06-05,4590.665432,1889.0,838,5215.026719,5226.4478604000005,4229.744923,4716.99369,4808.601546
2025-06-06,6963.323169,2614.0,1020,5063.485188714286,5299.057430666667,4590.665432,8024.113881,4785.036061
2025-06-07,5260.045252,2296.0,938,5007.062677428571,5302.282054133333,6963.323169,5655.002831,5163.306548
2025-06-08,3506.691029,1633.0,745,4931.689059857143,5202.870099433333,5260.045252,4034.306352,6489.04967
2025-06-09,4376.2008829999995,1582.0,675,4929.855336571428,5150.644543766667,3506.691029,4389.036946,5942.967553
2025-06-10,5433.103692,2142.0,857,4908.539197142856,5169.109428333333,4376.2008829999995,5582.316668,4879.157155
2025-06-11,4427.5156,2045.0,838,4936.792151,5159.8884366,5433.103692,4229.744923,4704.145352
2025-06-12,4811.623323,2165.0,924,4968.357563999999,5132.818815433334,4427.5156,4590.665432,5623.711958
2025-06-13,7899.237099,2712.0,1077,5102.0595539999995,5217.051209366667,4811.623323,6963.323169,5372.265281
2025-06-14,5515.689693,2217.0,852,5138.580188428571,5212.010748333332,7899.237099,5260.045252,5666.903524
2025-06-15,3581.804474,1537.0,715,5149.310680571428,5085.009910299999,5515.689693,3506.691029,7391.829615
2025-06-16,4460.373148,1858.0,786,5161.335289857142,5009.819613500001,3581.804474,4376.2008829999995,6716.082052
2025-06-17,4939.711664,1817.0,789,5090.85071442857,5015.7638853,4460.373148,5433.103692,4761.38351
2025-06-18,4268.028419,1948.0,838,5068.066831428571,5017.3318838,4939.711664,4427.5156,4220.988464
2025-06-19,4867.226895,2268.0,924,5076.010198857142,5024.657881,4268.028419,4811.623323,4647.446979
2025-06-20,8065.395215,3081.0,1099,5099.747072571429,5106.746248933332,4867.226895,7899.237099,5602.7441770000005
2025-06-21,6646.132164,2555.0,960,5261.238854142857,5159.449494066666,8065.395215,5515.689693,5065.03481
2025-06-22,3709.074206,1607.0,713,5279.420244428571,5074.957852799999,6646.132164,3581.804474,6243.823444
2025-06-23,3897.421206,1640.0,722,5198.998538428571,5027.381951033332,3709.074206,4460.373148,5324.698259
